"","X","Y","haut_tot","haut_tronc","tronc_diam","age_estim","fk_prec_estim","clc_nbr_diag"
"X",1,-0.151568348509718,0.218966953446891,0.122090975454759,0.0932525464405446,0.078734951022672,0.137671009897117,-0.0178443421138747
"Y",-0.151568348509718,1,0.169011027473991,0.0831051332390398,0.0707041685386329,0.0402402779201984,-0.0239061478273312,-0.0540745206727142
"haut_tot",0.218966953446891,0.169011027473991,1,0.526527324662273,0.666305701603008,0.567784275239969,0.484546257236716,0.343252749349529
"haut_tronc",0.122090975454759,0.0831051332390398,0.526527324662273,1,0.41798124002466,0.515031498780673,0.450082304464521,0.352978479950797
"tronc_diam",0.0932525464405446,0.0707041685386329,0.666305701603008,0.41798124002466,1,0.769658101545677,0.621534012921143,0.343795807537136
"age_estim",0.078734951022672,0.0402402779201984,0.567784275239969,0.515031498780673,0.769658101545677,1,0.816478953167958,0.358643473323905
"fk_prec_estim",0.137671009897117,-0.0239061478273312,0.484546257236716,0.450082304464521,0.621534012921143,0.816478953167958,1,0.344349698861899
"clc_nbr_diag",-0.0178443421138747,-0.0540745206727142,0.343252749349529,0.352978479950797,0.343795807537136,0.358643473323905,0.344349698861899,1
